Firmanavn,Adresse,Postnr.,Telefon,Primær branche,E-mail,Tilladelse til nyhedsmail,Antal tilladelser,DTL Regioner,Antal biler,Antal chauffører,Kunde,Konkurrent,Dørcanvas,Telefoncanvas EGO,Telefoncanvas (outsourcet,M1 Kontakt etableret,M2 Møde booket,M3 Møde gennemført,M4 Aftale indgået,M5 Deltager booket,Milepælsstatus,Næste kontakt,Kommentarer og noter
Peter Kaj Tvenstrup Johannsen,Torvegade 49,1400 København K,32542112,Vejgodstransport,,,6
JTV Trans ApS,"c/o Bondesen, Sankelmarksgade 13",1676 København V,21821378,Vejgodstransport,,,2
Chaufførens Vikarservice ApS,Platanvej 22B 7tv,1810 Frederiksberg C,,Uoplyst,,,5
Bille's Distribution v/ Leif Bille Olsen,Kastanievej 17,1876 Frederiksberg C,33318763,Flytteforretninger,,,3
Kurer Transporten ApS,Forhåbnungsholms Allé 11A,1904 Frederiksberg C,,Vejgodstransport,,,3
Vognmandsfirmaet Hans B. Jakobsen A/S,Dronning Olgas Vej 18,2000 Frederiksberg,38871333,Vejgodstransport,,,27
Nicolai Christian Sømoe Vognmand,Andebakkesti 4,2000 Frederiksberg,,Vejgodstransport,,,1
Vognmand Peer Gravesen ApS,"Peter Bangs Vej 101, 1.tv.",2000 Frederiksberg,38746834,Vejgodstransport,,,1
Anders Nielsen & Co A/S,Orient Plads 1,2100 København Ø,39159000,Vejgodstransport,cph@ancotrans.dk,,88
Herly Sørensen,Sandkaj 36,2100 København Ø,35434600,Vejgodstransport,,,5
Storms Distributions Service ApS,Vardegade 3,2100 København Ø,,Vejgodstransport,,,5
Vognmand Tonny Sindahl-Jørgensen,"Blegdamsvej 130, 5.th.",2100 København Ø,50343434,Vejgodstransport,,,4
Bil Transport Kompagniet A/S,Kristianiagade 16,2100 København Ø,35274700,Autoreparationsværksteder mv,,,42
JUNKBUSTERS ApS,Baltikavej 25,2100 København Ø,70702420,Indsamling af ikke-farligt affald,info@junkbusters.dk,,2
Prana Bilfragt ApS,Sundkrogsgade 25,2100 København Ø,39294988,Speditører,,,4
Mammen & Drescher A/S,Sundkaj 7,2100 København Ø,39274669,Speditører,heini@mammendrescher.com,,3
Stabrand Spedition ApS,Billedvej 8,2100 København Ø,39209030,Speditører,,,3
Junge Spedition ApS,Orient Plads 1,2100 København Ø,39273433,Speditører,,,1
AB Catering København A/S,Vingelodden 10,2200 København N,35860400,Engroshandel med kød og kødprodukter,,,12
Flyttemand Olsen v/Johnny T. L. Olsen,"Jesper Brochmands Gade 9, st.",2200 København N,,Flytteforretninger,,,1
Flytte- og Vognmandsforretningen John Hansen A/S,Jorisvej 15-17,2300 København S,32972817,Vejgodstransport,jhas@image.dk,,18
Vognmand Michael Mühring ApS,"C.F. Møllers Allé 16, 10. th.",2300 København S,32949349,Vejgodstransport,,,18
Kalle's Transport v/Max Weismann,Engvej 108,2300 København S,,Vejgodstransport,,,17
Neumann ApS,Amagerbrogade 16 A,2300 København S,,Vejgodstransport,,,6
MV Transport ApS,"Telemarksgade 33, 3. th",2300 København S,,Vejgodstransport,,,2
SA Logistik ApS,Rued Langgaards Vej 17 1.th.,2300 København S,41116956,Vejgodstransport,sajjadahmed1@me.com,,2
Vognmand Karsten Mads Praëm,"Engvej 13 H, 1. tv.",2300 København S,,Vejgodstransport,,,2
Vognmand Michael Tønning,Portugalsgade 19,2300 København S,32843037,Vejgodstransport,,,2
"Amager Møbeltransport, v/Steen Michael Petersen",Windsorvej 1,2300 København S,32590627,Vejgodstransport,,,1
Vognmand Hardy Rasmussen,Vejlands Allé 49,2300 København S,,Vejgodstransport,,,1
Vognmandsfirma v/Koku Ayim,"Reberbanegade 17, 1.tv.",2300 København S,30338538,Vejgodstransport,,,1
Carl Petersen & Søn's Eftf. v/ Kaj Holdgaard Jensen,Krimsvej 7,2300 København S,32591446,Anlæg af ledningsnet,,,1
